"Variable","box0","box1","box2","box3","box4","box5","box6","box7","box8","box9","box10","box11","box12","box13","box14","box15","box16","box17","box18","box19","box20","box21","box22","box23","box24","box25"
"37","baleen_whales6_Nums",0,0,0,0,31.05,11.59,11.59,0,31.05,26.12,11.59,11.59,37.71,0.95,0.95,56.33,0,0,56.33,56.33,50.8,24.68,0.95,0,0,0
"38","toothed_whales1_Nums",0,0,0,0,5600.53333333333,4464.85333333333,4464.85333333333,0,5600.53333333333,16760.3573333333,4464.85333333333,4464.85333333333,895.52,210.666666666667,525.866666666667,939.2,0,0,939.2,939.2,622.757333333333,144.533333333333,1171.73333333333,515.733333333333,0,0
"39","toothed_whales2_Nums",0,0,0,0,2800.26666666667,2232.42666666667,2232.42666666667,0,2800.26666666667,8380.17866666667,2232.42666666667,2232.42666666667,447.76,105.333333333333,262.933333333333,469.6,0,0,469.6,469.6,311.378666666667,72.2666666666667,585.866666666667,257.866666666667,0,0
"40","toothed_whales3_Nums",0,0,0,0,1400.13333333333,1116.21333333333,1116.21333333333,0,1400.13333333333,4190.08933333333,1116.21333333333,1116.21333333333,223.88,52.6666666666667,131.466666666667,234.8,0,0,234.8,234.8,155.689333333333,36.1333333333333,292.933333333333,128.933333333333,0,0
"41","toothed_whales4_Nums",0,0,0,0,700.066666666667,558.106666666667,558.106666666667,0,700.066666666667,2095.04466666667,558.106666666667,558.106666666667,111.94,26.3333333333333,65.7333333333333,117.4,0,0,117.4,117.4,77.8446666666667,18.0666666666667,146.466666666667,64.4666666666667,0,0
"42","seals1_Nums",0,0,0,0,8848.82,15.26,0,2348.1,7864.5,179.39,0,0,0,0,6105.06,21112.72,0,0,21448.26,0,0,0,0,0,0,0
"43","seals2_Nums",0,0,0,0,5095.69,8.79,0,1352.18,4528.86,103.31,0,0,0,0,3515.67,12158,0,0,12351.22,0,0,0,0,0,0,0
"44","seals3_Nums",0,0,0,0,2934.41,5.06,0,778.67,2607.99,59.49,0,0,0,0,2024.54,7001.32,0,0,7112.59,0,0,0,0,0,0,0
"45","seals4_Nums",0,0,0,0,1689.81,2.91,0,448.4,1501.84,34.26,0,0,0,0,1165.85,4031.79,0,0,4095.86,0,0,0,0,0,0,0
"46","seals5_Nums",0,0,0,0,973.1,1.68,0,258.22,864.85,19.73,0,0,0,0,671.37,2321.75,0,0,2358.65,0,0,0,0,0,0,0
"47","seabirds1_Nums",0,1252.27,831.19,1889.88,2189.15,2300.97,2519.04,2647.67,2716.96,3417.61,913.26,1419.65,1286.76,1339.73,3093.05,3801.03,0,0,2518.05,997.21,4503.3,9682.6,2358.56,0,0,0
